"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"DNAL4",1.12322272330057e-05,1.13674991117308,0.044,0.029,0.232844070540209
"STXBP5",1.12593975953106e-05,1.51401387104152,0.022,0.012,0.23340731215079
"KCTD13",1.13573575267499e-05,-0.204053675084225,0.012,0.022,0.235438021529525
"CEP350",1.14395084567727e-05,1.10621818618545,0.144,0.127,0.237141010308898
"PTK2",1.15054253441852e-05,0.974153688527671,0.078,0.059,0.238507467384959
"MT1X",1.15519455562301e-05,-0.106705412938207,0.39,0.479,0.239471831380651
"TMEM65",1.16574920935634e-05,0.274683410142708,0.023,0.037,0.24165981109957
"MCEE",1.17040970932757e-05,0.711358679198146,0.049,0.071,0.242625932743606
"MAGOH",1.17338711111781e-05,0.230688672554402,0.295,0.377,0.243243148134723
"ATXN7",1.17382782736202e-05,1.14569935324518,0.078,0.06,0.243334508612148
"CREBL2",1.17828126995387e-05,0.23281990760222,0.094,0.123,0.244257707261437
"GAPT",1.18032645413838e-05,-0.305439155992965,0.021,0.034,0.244681673942887
"GYG1",1.20048128742958e-05,0.367031186339833,0.173,0.222,0.248859770884151
"KCNK3",1.20952397412136e-05,2.31693359160351,0.017,0.008,0.250734319835358
"ENG",1.21021771793802e-05,0.470934575027975,0.256,0.322,0.250878132928551
"NUMB",1.2202644502267e-05,0.265283182352297,0.152,0.195,0.252960820531996
"UBE4B",1.22351717608411e-05,0.330396626807978,0.041,0.059,0.253635110602235
"PKIA",1.24869572218194e-05,2.18276127651212,0.015,0.007,0.258854623208317
"IL32",1.25374138646092e-05,0.560767175674578,0.194,0.174,0.259900589413348
"C17orf58",1.26129959971681e-05,0.192275322200146,0.027,0.042,0.261467407021295
"TMEM159",1.26164337981597e-05,1.10139946454102,0.059,0.043,0.26153867263585
